company,location,country,year,capex,currency,capex_2025_eur,capacity,facility_size_m2,source_url,confidence_score
Dollar General,"Ardmore, Oklahoma",US,2021,,,,,14864,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.64
Dollar General,"Blair, Nebraska",US,2022,71.0,USD,72.33,,80361,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.79
Dollar General,"Bowling Green, Kentucky",US,2021,,,,,14864,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.64
Dollar General,"Pottsville, Pennsylvania",US,2020,,,,,13750,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.64
Dollar General,"Rosenberg, Texas",US,2020,130.0,USD,149.75,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.715
Dollar General,"Sacramento, California",US,2020,,,,,18581,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.64
Domino's,"Katy, Texas",US,2020,,,,,5481,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.64
Domino's,"West Columbia, South Carolina",US,2020,,,,,6225,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.64
Donaghy Sales,"Stockton, California",US,2021,,,,,26477,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.64
Dorada Foods,"Ponca City, Oklahoma",US,2020,,,,,1858,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.64
Dorada Foods,"Ponca City, Oklahoma",US,2021,,,,,1394,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.64
Dot Foods,"Bear, Delaware",US,2020,,,,,17466,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.64
Dot Foods,"Bullhead City, Arizona",US,2020,,,,,6503,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.64
Dot's Pretzels,"Edgerton, Kansas",US,2020,15.0,USD,17.28,,17280,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.79
Dreyer's Grand Ice Cream,"Bakersfield, California",US,2021,6.0,USD,6.6,,1858,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.79
DrinkPak,"Newhall, California",US,2021,,,,,15979,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.64
Duda Farm Fresh Foods,"Oxnard, California",US,2020,5.0,USD,5.76,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.715
Eby-Brown,"Knightdale, North Carolina",US,2020,,,,,2694,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.64
Edwards Spirit Company,"Fayette, Kentucky",US,2020,5.0,USD,5.76,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.715
Elevation Foods,"Knoxville, Tennessee",US,2021,5.0,USD,5.5,,1394,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.79
Empire Bakery,"Rocky Mount, Virginia",US,2020,,,,,12077,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.64
Empire Bakery,"Rocky Mount, Virginia",US,2020,,,,,3995,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.64
Empire Brands,"Dunkirk, New York",US,2020,,,,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.565
EnviroFlight LLC,"Marysville, Kentucky",US,2020,20.0,USD,23.04,,16072,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.79
ePac Flexible Packing,"Sacramento, Kentucky",US,2020,,,,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.565
Factory LLC,"Bethlehem (Hanover Twp), Pennsylvania",US,2020,,,,,13935,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.64
FAGE USA,"Johnstown, New York",US,2020,4.0,USD,4.61,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.715
"Family Brands, LLC","Lenoir City, Tennessee",US,2020,,,,,6039,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.64
Farmer Jon's Popcorn,"Lakeland, Florida",US,2020,,,,,650,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.64
Farmer's Select,"El Paso, Texas",US,2020,,,,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.565
Farmina,"Reidsville, North Carolina",US,2020,28.0,USD,32.25,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.715
FB Packing,"Peabody, Massachusetts",US,2021,10.0,USD,11.0,,9755,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.79
Ferrara Candy Company,"Augusta, Georgia",US,2020,3.0,USD,3.46,,31680,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.79
Ferraro Foods,"Aberdeen, Maryland",US,2020,,,,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.565
Ferrero USA,"Bloomington, Illinois",US,2021,75.0,USD,82.52,,6503,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.79
Ferrero USA,"McDonnough, Georgia",US,2020,,,,,67633,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.64
Field Fresh Foods (FFF Farms),"Nyssa, Oregon",US,2020,,,,,1022,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.64
Field Fresh Foods (FFF Farms),"Nyssa, Oregon",US,2020,,,,,5574,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.64
FiveStar Gourmet Foods,"Rancho Cucamonga, California",US,2020,20.0,USD,23.04,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.715
Florida Can Manufacturing,"Lake Alfred, Florida",US,2021,120.0,USD,132.03,,27871,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.79
Florida Can Manufacturing,"Lake Alfred, Florida",US,2022,,,,,92903,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.64
Florida Caribbean Distillers,"Winter Haven, Florida",US,2021,,,,,27871,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.64
Flowers Foods,"Lynchburg, Virginia",US,2020,25.0,USD,28.8,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.715
Foote Cattle Co. Beef Plant,"TBD, Kansas",US,2023,25.0,USD,24.46,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.715
Foremost Farms,"Greenville, Michigan",US,2021,,,,,5388,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.64
FPL Foods,"Thomasville, Georgia",US,2021,,,,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.565
Freedom Foods,"Randolph, Vermont",US,2020,,,,,1486,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.64
Fresh Bourbon Distilling Company,"Lexington, Kentucky",US,2020,,,,,3159,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.64
Freshpet,"Bethlehem, Pennsylvania",US,2020,100.0,USD,115.19,,13006,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.79
Freshpet,"Ennis, Texas",US,2022,,,,,37161,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.64
Frick's Quality Meats,"Washington, Missouri",US,2022,7.0,USD,7.13,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.715
Frito-Lay,"Bridgeton, Missouri",US,2020,7.0,USD,8.06,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.715
Frito-Lay,"Bridgeton, Missouri",US,2020,8.0,USD,9.22,,3716,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.79
Frito-Lay,"Cucamonga, California",US,2020,1.0,USD,1.15,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.715
Frito-Lay,"Dallas, Texas",US,2020,29.0,USD,33.41,,9012,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.79
Frito-Lay,"Dayton, Ohio",US,2020,1.0,USD,1.15,,1579,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.79
Frito-Lay,"Frankfort, Indiana",US,2020,43.0,USD,49.53,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.715
Frito-Lay,"Frankfort, Indiana",US,2020,32.0,USD,36.86,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.715
Frito-Lay,"Irving, Texas",US,2020,23.0,USD,26.49,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.715
Frito-Lay,"Osceola Cty, Florida",US,2021,130.0,USD,143.03,,26570,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.79
Frito-Lay,"Perry, Georgia",US,2023,200.0,USD,195.69,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.715
Frito-Lay,"Perry, Georgia",US,2021,27.0,USD,29.71,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.715
Frito-Lay,"Perry, Georgia",US,2020,47.0,USD,54.14,,1858,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.79
Frito-Lay,"Pulaski, Tennessee",US,2022,100.0,USD,101.87,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.715
Frito-Lay,"Rosenberg, Texas",US,2020,138.0,USD,158.97,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.715
Frito-Lay,"Topeka, Kansas",US,2020,23.0,USD,26.49,,9941,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.79
Frito-Lay,"Topeka, Kansas",US,2020,23.0,USD,26.49,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.715
Fuji Vegetable Oil Inc.,"Avondale (New Orleans), Louisiana",US,2020,70.0,USD,80.63,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.715
E. & J. Gallo Winery,"Modesto, California",US,2019,,,,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.565
EarthFresh,"College Park, Georgia",US,2019,22.0,USD,25.65,,13006,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.79
Empire Bakery Commissary,"Rocky Mount, Virginia",US,2020,,,,,3995,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.64
F&S Produce Co Inc,"Vineland, New Jersey",US,2019,,,,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.565
"fairlife, LLC","Goodyear, Arizona",US,2019,,,,,27871,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.64
"Family Brands, LLC","Lenoi City, Tennessee",US,2020,,,,,6039,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.64
Farmer Brothers,"Northlake, Texas",US,2019,3.0,USD,3.5,,12542,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.79
Farmer's Select,"El Paso, Texas",US,2020,,,,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.565
FGF Brands,"San Antonio, Texas",US,2019,129.0,USD,150.43,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.715
Florida Carribean Distillers,"Winter Haven, Florida",US,2021,,,,,27871,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.64
Flow Alkaline Spring Water,"Verona, Virginia",US,2019,16.0,USD,18.66,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.715
Flower One,"Las Vegas, Nevada",US,2019,85.0,USD,99.12,,41806,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.79
FONA International,"Geneva, Illinois",US,2019,,,,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.565
Foremost Farms,"Greenville, Michigan",US,2021,,,,,5388,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.64
Foster Farms,"Livingston, California",US,2019,,,,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.565
Four Roses,"Lawrenceburg, Kentucky",US,2019,55.0,USD,64.14,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.715
Freshly,"Savage, Maryland",US,2019,,,,,15886,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.64
Freshpet,"Bethlehem, Pennsylvania",US,2020,100.0,USD,115.19,,13006,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.79
Frito-Lay,"Bridgeton, Missouri",US,2020,7.0,USD,8.06,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.715
Frito-Lay,"Cucamonga, California",US,2020,1.0,USD,1.15,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.715
Frito-Lay,"Fayetteville, Tennessee",US,2019,4.0,USD,4.66,,2601,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.79
Frito-Lay,"Frankfort, Indiana",US,2020,43.0,USD,49.53,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.715
Frito-Lay,"Frankfort, Indiana",US,2020,32.0,USD,36.86,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.715
Frito-Lay,"Irving, Texas",US,2020,23.0,USD,26.49,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.715
Frito-Lay,"Osceola Cty, Florida",US,2021,130.0,USD,143.03,,26570,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.79
Frito-Lay,"Perry, Georgia",US,2021,27.0,USD,29.71,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.715
Frito-Lay,"Topeka, Kansas",US,2020,23.0,USD,26.49,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.715
Fuji Vegetable Oil Inc.,"Avondale (New Orleans), Louisiana",US,2020,70.0,USD,80.63,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.715
G&C Food Distributors & Brokers,"Syracuse, New York",US,2020,18.0,USD,20.73,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.715
Galaxy Desserts,"Richmond, California",US,2019,,,,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.565
Gamesa,"Monterrey, MX",US,2019,,,,,465,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.64
Gathered Foods,"Heath, Ohio",US,2019,,,,,3995,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.64
Gem State Dairy Products,"Twin Falls, Idaho",US,2019,,,,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.565
GenCanna,"Mayfield, Kentucky",US,2019,40.0,USD,46.65,,9290,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.79
General Mills,"Belvidere, Illinois",US,2019,,,,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.565
General Mills,"Hannibal, Missouri",US,2019,65.0,USD,75.8,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.715
General Mills,"Superior, Wisconsin",US,2019,,,,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.565
General Mills,"Wellston, Ohio",US,2019,,,,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.565
General Mills,"Cedar Rapids, Iowa",US,2019,,,,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.565
General Mills,"Covington, Georgia",US,2019,,,,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.565
General Mills,"Joplin, Missouri",US,2019,,,,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.565
General Mills/Blue Buffalo,"Joplin, Missouri",US,2019,,,,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.565
General Mills/Blue Buffalo,"Joplin, Missouri",US,2019,,,,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.565
General Mills/Blue Buffalo,"McDonough, Georgia",US,2019,9.0,USD,10.5,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.715
General Mills/Blue Buffalo,"Richmond, Indiana",US,2019,200.0,USD,233.23,,37161,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.79
Giant,"Jessup, Maryland",US,2020,15.0,USD,17.28,,8826,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.79
Glanbia,"Gooding, Idaho",US,2020,,,,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.565
Glanbia,"St. Johns, Michigan",US,2019,555.0,USD,647.21,,34839,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.79
Gold Coast,"Pompano Beach, Florida",US,2019,,,,,23226,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.64
Golfo di Napoli Dairy,"Warren, Indiana",US,2019,10.0,USD,11.66,,279,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.79
Good Catch Foods,"Columbus, Ohio",US,2020,,,,,3716,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.64
Good To-Go,"Kittery, Maine",US,2019,,,,,93,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.64
Goodwood Brewing Company,"Louisville, Kentucky",US,2019,1.0,USD,1.17,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.715
Gordon Food Services,"Westfield, Indiana",US,2020,,,,,46452,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.64
Granny's Poultry,"Blumenort, Manitoba",CA,2019,37.0,USD,43.15,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.715
Great Lakes Cheese,"Fillmore, Utah",US,2019,2.0,USD,2.33,,4645,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.79
Great Lakes Cheese,"Fillmore, Utah",US,2020,3.0,USD,3.46,,11148,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.79
Great Lakes Cheese,"Hiram, Ohio",US,2020,90.0,USD,103.67,,29729,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.79
Great Lakes Cheese,"Wausau, Wisconsin",US,2019,62.0,USD,72.3,,16723,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.79
Great Lakes Cheese,"Wausau, Wisconsin",US,2021,13.0,USD,14.3,,1858,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.79
Great Lakes Cheese,"Troy, Ohio",US,2019,,,,,27871,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.64
Green Life Farms,"Boynton Beach, Florida",US,2019,,,,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.565
Greenleaf Foods,"Shelbyville, Indiana",US,2020,310.0,USD,357.1,,21368,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.79
Guggisberg Cheese,"Millersburg, Ohio",US,2020,,,,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.565
Guittard,"Fairfield, California",US,2020,,,,,1115,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.64
Guttenplan's,"Middletown, New Jersey",US,2019,9.0,USD,10.5,,1672,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.79
Hampton Farms,"Franklin, Virginia",US,2018,6.0,USD,7.12,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.715
Hampton Meat Processing,"Hopkinsville, Kentucky",US,2019,1.0,USD,1.17,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.715
Harbor Distributing,"Santa Fe Springs, California",US,2019,,,,,33073,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.64
Haribo,"Pleasant Praire, Wisconsin",US,2019,,,,,15236,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.64
Hearthside Food Solutions,"Seelyville, Indiana",US,2019,,,,,17373,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.64
Heartland Catfish Co.,"Itta Bena, Mississippi",US,2020,,,,,1115,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.64
Heartland Catfish Co.,"Itta Bena, Mississippi",US,2019,,,,,1115,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.64
Heartland Food Products Group,"Indianapolis, Indiana",US,2019,32.0,USD,37.32,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.715
Heaven Hill Distilleries,"Bardstown, Kentucky",US,2019,18.0,USD,20.99,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.715
Heineken,"Meoqui, MX",US,2019,,,,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.565
Hershey (The) Company,"Stuart's Draft, Virginia",US,2019,104.0,USD,121.28,,10219,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.79
High Wire Distilling Company,"Charleston, South Carolina",US,2019,3.0,USD,3.5,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.715
Hill's Pet Nutrition,"Tyopeka, Kansas",US,2019,20.0,USD,23.32,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.715
Holic Foods,"Middletown, Indiana",US,2020,2.0,USD,2.3,,2787,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.79
Holistic Health Extension,"Hauppauge, New York",US,2019,8.0,USD,9.33,,5110,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.79
Hollandia Dairy,"San Marcos, California",US,2021,,,,,5203,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.64
Homestead Creamery,"Burnt Chimney, Virginia",US,2019,,,,,2044,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.64
Hormel Foods,"Austin, Minnesota",US,2019,,,,,9290,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.64
Hormel Foods,"Omaha, Nebraska",US,2019,140.0,USD,163.26,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.715
Horse Soldier Bourbon,"Somerset, Kentucky",US,2019,26.0,USD,30.32,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.715
House Foods America,"Garden Grove, California",US,2019,,,,,3437,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.64
HP Hood Dairy,"Arkport, New York",US,2019,2.0,USD,2.33,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.715
Hubig's Pies,"New Orleaans, Louisiana",US,2019,1.0,USD,1.17,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.715
Hunt Advantage Group,"Paris, Kentucky",US,2019,,,,,5110,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.64
Idaho Milk Products,"Jerome, Idaho",US,2019,30.0,USD,34.98,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.715
Impossible Foods,"Oakland, California",US,2019,,,,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.565
In-N-Out,"Colorado Springs, Colorado",US,2020,47.0,USD,54.14,,9290,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.79
InterChange Cold Storage,"Mt. Crawford, Virginia",US,2019,,,,,10963,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.64
International Farmaceutical Extracts,"Danville, Kentucky",US,2019,6.0,USD,7.0,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.715
International Farmaceutical Extracts,"Danville, Kentucky",US,2019,6.0,USD,7.0,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.715
Interstate Warehousing,"Anderson, Indiana",US,2019,40.0,USD,46.65,,23226,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.79
Interstate Warehousing,"Murfreesboro, Tennessee",US,2019,18.0,USD,20.99,,10684,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.79
Iowa Food Group,"Cherokee, Iowa",US,2019,,,,,23226,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.64
Italgrani USA,"St. Louis, Missouri",US,2019,,,,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.565
J.M. Smucker Co.,"Lexington, Kentucky",US,2019,30.0,USD,34.98,,4924,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.79
J.M. Smucker Co.,"Longmont, Colorado",US,2019,215.0,USD,250.72,,40134,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.79
J.M. Smucker Co.,"Longmont, Colorado",US,2021,80.0,USD,88.02,,21275,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.79
J.M. Smucker Co.,"Memphis, Tennessee",US,2019,7.0,USD,8.16,,1579,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.79
J.M. Smucker Co.,"Oxnard, California",US,2019,2.0,USD,2.33,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.715
J.R. Simplot,"Portage la Prairie, Manitoba",CA,2019,460.0,USD,536.42,,26013,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.79
JBS USA,"Grand Island, Nebraska",US,2019,95.0,USD,110.78,,9941,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.79
JBS USA,"Ottumwa, Iowa",US,2021,12.0,USD,13.2,,1115,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.79
JBS USA,"Ottumwa, Iowa",US,2019,20.0,USD,23.32,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.715
JBS USA,"Worthington, Minnesota",US,2020,,,,,4645,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.64
Jet.com,"Bronx, New York",US,2019,20.0,USD,23.32,,17187,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.79
Jetton Biochemistry,"Nampa, Idaho",US,2019,,,,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.565
John Soules Foods,"Tyler, Texas",US,2019,25.0,USD,29.15,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.715
JTM,"Harrison, Ohio",US,2020,8.0,USD,9.22,,1579,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.79
JUST Inc.,"Appleton, Minnesota",US,2019,,,,,2787,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.64
KanPack,"Arkansas City, Kansas",US,2019,,,,,18859,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.64
Kan-Pak,"Penn Yan, New York",US,2019,21.0,USD,24.49,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.715
Kansa Dairy Ingredients,"Hugoton, Kansas",US,2021,,,,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.565
KEG 1,"Temple, Texas",US,2019,11.0,USD,12.83,,10034,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.79
Kellogg's,"San Jose, California",US,2019,1.0,USD,1.17,,465,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.79
Kellogg's,"San Jose, California",US,2021,20.0,USD,22.0,,929,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.79
Kentucky BioScience International,"Bowling Green, Kentucky",US,2019,23.0,USD,26.82,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.715
Kentucky Bourbon Distillers,"Bardstown, Kentucky",US,2019,2.0,USD,2.33,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.715
Kerry,"Rome, Georgia",US,2021,115.0,USD,126.53,,31030,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.79
Keurig Dr. Pepper,"Allentown, Pennsylvania",US,2020,220.0,USD,253.42,,75344,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.79
Keurig Dr. Pepper,"Moore, South Carolina",US,2021,,,,,65775,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.64
Kingfish Zeeland,"Jonesport, Maine",US,2019,110.0,USD,128.27,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.715
